id,wikidata_id,name,gender,birthdate,birthplace,latitude,longitude,pcs_id,weight_kg,height_m,total_wins,current_team,wikipedia_url,fetched_at
762,Q1289930,Allan Bo Andresen,mand,1973-02-19,Hammel,56.25,9.866666666,115193,,,0,,https://nl.wikipedia.org/wiki/Allan-Bo_Andresen,2026-04-06T15:53:20.269379+00:00
763,Q19958208,Allan Jacobsen,mand,1955-11-13,Herning,56.136111111,8.976666666,258602,,,0,,https://pt.wikipedia.org/wiki/Allan_Jacobsen,2026-04-06T15:53:31.388178+00:00
764,Q1344885,Allan Johansen,mand,1971-07-14,Silkeborg,56.166666666,9.55,120646,78.0,1.88,0,,https://sv.wikipedia.org/wiki/Allan_Johansen,2026-04-06T15:53:42.166494+00:00
22,Q17418790,Allan Juel Larsen,mand,1931-11-21,Frederiksberg,55.6779,12.5327,,,,0,,https://pt.wikipedia.org/wiki/Allan_Juel_Larsen,2026-04-06T15:50:01.217116+00:00
23,Q105730490,Allan Møller,mand,1957-07-12,,,,,,,0,,https://de.wikipedia.org/wiki/Allan_M%C3%B8ller,2026-04-06T15:50:01.217116+00:00
765,Q118720232,Alma Walther Møller Rasmussen,kvinde,2007-03-30,Odder,55.9725,10.149722222,294232,,,0,,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BC%D1%83%D1%81%D1%81%D0%B5%D0%BD,_%D0%90%D0%BB%D1%8C%D0%BC%D0%B0",2026-04-06T15:53:53.100160+00:00
766,Q17490498,Amalie Dideriksen,kvinde,1996-05-24,Kastrup,55.6375,12.6417,171564,62.0,1.75,0,,https://sv.wikipedia.org/wiki/Amalie_Dideriksen,2026-04-06T15:54:03.572008+00:00
767,Q105481268,Amalie Kvist Nybroe,kvinde,1998-02-16,Uvelse,55.8678,12.2344,271168,,,0,,https://da.wikipedia.org/wiki/Amalie_Kvist_Nybroe,2026-04-06T15:54:14.741263+00:00
768,Q63368916,Amalie Winther Olsen,kvinde,1994-01-12,Odense,55.4,10.383333333,171569,,,0,,https://fr.wikipedia.org/wiki/Amalie_Winther_Olsen,2026-04-06T15:54:25.150948+00:00
769,Q123555003,Amanda Poulsen,kvinde,1999-03-16,Gilleleje,56.1225,12.3081,299388,58.0,1.73,0,,https://da.wikipedia.org/wiki/Amanda_Poulsen,2026-04-06T15:54:35.684606+00:00
29,Q12301259,Amanda Sørensen,kvinde,1985-11-18,Skanderborg,56.033333333,9.933333333,,,,0,,https://pt.wikipedia.org/wiki/Amanda_S%C3%B8rensen,2026-04-06T15:50:01.217116+00:00
770,Q133870279,Anders Fialla,mand,1975-10-03,Esbjerg,55.470833333,8.451388888,120589,,,0,,https://da.wikipedia.org/wiki/Anders_Fialla,2026-04-06T15:54:46.433089+00:00
771,Q102300538,Anders Foldager,mand,2001-07-27,Skive,56.566666666,9.026944444,217743,69.0,1.81,0,,https://nl.wikipedia.org/wiki/Anders_Foldager,2026-04-06T15:54:56.856598+00:00
772,Q106982847,Anders Fynbo,mand,1996-06-03,Greve Strand,55.582222222,12.288888888,196427,,,0,,"https://ru.wikipedia.org/wiki/%D0%A4%D1%8E%D0%BD%D0%B1%D0%BE,_%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81",2026-04-06T15:55:07.481159+00:00
773,Q20736147,Anders Holm,mand,1978-08-13,,,,179980,,,0,,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%B5%D0%BD%D1%81%D0%B5%D0%BD,_%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81_%D0%A5%D0%BE%D0%BB%D1%8C%D0%BC",2026-04-06T15:55:18.242973+00:00
774,Q491180,Anders Lund,mand,1985-02-14,København,55.676111111,12.568888888,140529,65.0,1.67,0,,https://sv.wikipedia.org/wiki/Anders_Lund,2026-04-06T15:55:28.725409+00:00
775,Q109912727,Anders Vos Sørensen,mand,2004-03-11,Svoldrup,56.7627546,9.3743148,270089,,,0,,https://da.wikipedia.org/wiki/Anders_Vos_S%C3%B8rensen,2026-04-06T15:55:39.942903+00:00
776,Q64911513,Andreas Aidel Brixen,mand,1996-04-08,Thorsø,56.2994,9.7908,188794,73.0,1.87,0,,https://da.wikipedia.org/wiki/Andreas_Aidel_Brixen,2026-04-06T15:55:52.378207+00:00
777,Q87345841,Andreas Byskov Sarbo,mand,2001-05-14,København,55.676111111,12.568888888,216886,,,0,,https://da.wikipedia.org/wiki/Andreas_Byskov_Sarbo,2026-04-06T15:56:04.168082+00:00
778,Q23950142,Andreas Hyldgaard Jeppesen,mand,1996-07-21,,,,181507,,,0,,https://ca.wikipedia.org/wiki/Andreas_Jeppesen,2026-04-06T15:56:14.664691+00:00
779,Q112107265,Andreas Krogh Jensen,mand,2005-02-26,Broager,54.889,9.6696,270680,,,0,,https://da.wikipedia.org/wiki/Andreas_Krogh_Jensen,2026-04-06T15:56:25.294875+00:00
780,Q28970245,Andreas Kron,mand,1998-06-01,Albertslund,55.6597,12.3617,198040,63.0,1.77,0,,https://sr.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B0%D1%81_%D0%9A%D1%80%D0%BE%D0%BD,2026-04-06T15:56:36.404716+00:00
781,Q23851907,Andreas Stokbro,mand,1997-04-08,Brøndbyvester,55.645277777,12.41,186227,70.0,1.83,0,,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE%D0%BA%D0%B1%D1%80%D0%BE,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B0%D1%81",2026-04-06T15:56:46.910054+00:00
782,Q522928,André Valgren Steensen,mand,1987-10-12,Skanderborg,56.033333333,9.933333333,139695,65.0,1.85,0,,"https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BD%D1%81%D0%B5%D0%BD,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5",2026-04-06T15:56:57.456719+00:00
783,Q115519038,Anika Rasmussen,kvinde,1996-11-18,Odense,55.4,10.383333333,176875,,,0,,https://es.wikipedia.org/wiki/Anika_Rasmussen,2026-04-06T15:57:07.955610+00:00
784,Q55481609,Ann Svendsgaard Mathiesen,kvinde,1971-09-18,,,,315065,,,0,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B8%D1%81%D0%B5%D0%BD,_%D0%90%D0%BD%D0%BD_%D0%A1%D0%B2%D0%B5%D0%BD%D0%BD%D1%81%D0%B3%D0%BE%D1%80",2026-04-06T15:57:18.524797+00:00
45,Q107356477,Ann-Dorthe Lisbygd,kvinde,1984-02-16,Sorø,55.4366,11.5592,,,,0,,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%81%D0%B1%D1%8E%D0%B3%D0%B4,_%D0%90%D0%BD%D0%BD-%D0%94%D0%BE%D1%80%D1%82%D0%B5",2026-04-06T15:50:01.217116+00:00
785,Q112741095,Anna Margrethe Hansen,kvinde,2006-03-06,Amager,55.616666666,12.616666666,283412,,,0,,https://da.wikipedia.org/wiki/Anna_Margrethe_Hansen,2026-04-06T15:57:29.642642+00:00
786,Q116890230,Anna Serop,kvinde,1999-08-09,Næstved,55.23333333,11.76666667,293530,,,0,,https://da.wikipedia.org/wiki/Anna_Serop,2026-04-06T15:57:40.214280+00:00
787,Q30907412,Anne Holm,kvinde,1999-07-09,Frederiksberg,55.6779,12.5327,293529,,,0,,https://es.wikipedia.org/wiki/Anne_Holm_(triatleta),2026-04-06T15:57:50.650640+00:00
49,Q125861971,Anne Thorbjørn,kvinde,1980-08-10,,,,,,,0,,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D0%BA%D0%B5%D0%BB%D1%8C%D1%81%D0%B5%D0%BD,_%D0%90%D0%BD%D0%BD%D0%B5_%D0%A2%D0%BE%D1%80%D0%B1%D1%8C%D1%91%D1%80%D0%BD",2026-04-06T15:50:01.217116+00:00
50,Q124807869,Anne-Sofie Nørgaard,kvinde,1979-08-13,,,,,,,0,,"https://ru.wikipedia.org/wiki/%D0%9D%D1%91%D1%80%D0%B3%D0%BE%D1%80,_%D0%90%D0%BD%D0%BD%D0%B0-%D0%A1%D0%BE%D1%84%D0%B8",2026-04-06T15:50:01.217116+00:00
788,Q567124,Annika Langvad,kvinde,1984-03-22,Silkeborg,56.166666666,9.55,130081,64.0,1.74,0,,"https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BD%D0%B3%D0%B2%D0%B0%D0%B4,_%D0%90%D0%BD%D0%BD%D0%B8%D0%BA%D0%B0",2026-04-06T15:58:01.139781+00:00
789,Q28924539,Anthon Charmig,mand,1998-03-25,Aarhus,56.156388888,10.209722222,187998,66.0,1.82,0,,"https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%80%D0%BC%D0%B8%D0%B3,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD",2026-04-06T15:58:12.486513+00:00
53,Q28744734,Anton Hansen,mand,1900-01-01,,,,,,,0,,https://es.wikipedia.org/wiki/Andreas_Hansen,2026-04-06T15:50:01.217116+00:00
790,Q112677481,Anton Louw Larsen,mand,2006-06-24,Roskilde,55.641666666,12.080833333,282365,,,0,,https://da.wikipedia.org/wiki/Anton_Louw_Larsen,2026-04-06T15:58:23.279207+00:00
791,Q64167818,Arne Birkemose,mand,1998-10-24,Svendborg,55.059722222,10.61,195532,,,0,,"https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%80%D0%BA%D0%B5%D0%BC%D0%BE%D1%81%D0%B5,_%D0%90%D1%80%D0%BD%D0%B5",2026-04-06T15:58:33.770899+00:00
56,Q98821954,Arne Jonsson,mand,1931-11-28,,,,,,,0,,https://en.wikipedia.org/wiki/Arne_Jonsson,2026-04-06T15:50:01.217116+00:00
792,Q692925,Arne Pedersen,mand,1917-09-07,København,55.676111111,12.568888888,214814,,,0,,https://pt.wikipedia.org/wiki/Arne_Pedersen,2026-04-06T15:58:44.978586+00:00
793,Q18809439,Arne Petersen,mand,1913-04-02,Vejen,55.4758,9.1381,246592,,,0,,https://pt.wikipedia.org/wiki/Arne_Petersen,2026-04-06T15:58:55.989457+00:00
59,Q16008742,Arnold Lundgren,mand,1899-01-05,København,55.676111111,12.568888888,,,,0,,https://pt.wikipedia.org/wiki/Johan_Lundgren,2026-04-06T15:50:01.217116+00:00
794,Q98915714,Asbjørn Hellemose,mand,1999-01-15,Galten,56.1564,9.905,206644,65.0,1.92,0,,https://nl.wikipedia.org/wiki/Asbj%C3%B8rn_Hellemose,2026-04-06T15:59:06.512293+00:00
795,Q17428009,Asbjørn Kragh Andersen,mand,1992-04-09,Strib,55.5367,9.7722,134492,72.0,1.82,0,,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D0%B5%D1%80%D1%81%D0%B5%D0%BD,_%D0%90%D1%81%D0%B1%D1%8C%D1%91%D1%80%D0%BD_%D0%9A%D1%80%D0%B0%D0%B3",2026-04-06T15:59:17.072601+00:00
796,Q122146696,Asger Paaske Frederiksen,mand,2004-10-16,Kolding,55.490833333,9.472222222,283375,,,0,,"https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B5%D0%B4%D0%B5%D1%80%D0%B8%D0%BA%D1%81%D0%B5%D0%BD,_%D0%90%D1%81%D0%B3%D0%B5%D1%80",2026-04-06T15:59:27.563014+00:00
797,Q115134958,Asger Røjbek Sørensen,mand,2003-04-14,Svaneke,55.1361,15.1422,260788,75.0,1.88,0,,https://da.wikipedia.org/wiki/Asger_R%C3%B8jbek_S%C3%B8rensen,2026-04-06T15:59:38.099589+00:00
798,Q23807380,Aske Vorre Louring,mand,1993-05-24,,,,158682,,,0,,https://ca.wikipedia.org/wiki/Aske_Vorre_Louring,2026-04-06T15:59:48.729187+00:00
799,Q105847516,Astrid Marie Bjørn Sørensen,kvinde,2005-08-31,Aarhus,56.156388888,10.209722222,271209,,,0,,https://da.wikipedia.org/wiki/Astrid_Marie_Bj%C3%B8rn_S%C3%B8rensen,2026-04-06T15:59:59.183311+00:00
66,Q16029196,Axel Hansen,mand,1899-10-13,Amiens,49.891944444,2.297777777,,,,0,,https://pt.wikipedia.org/wiki/Axel_Hansen,2026-04-06T15:50:01.217116+00:00
67,Q792162,Axel Hansen,mand,1882-02-09,,,,,,,0,,https://de.wikipedia.org/wiki/Axel_Hansen_(Radsportler),2026-04-06T15:50:01.217116+00:00
68,Q792344,Axel Schandorff,mand,1926-03-03,København,55.676111111,12.568888888,,,,0,,https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%81%D0%B5%D0%BB%D1%8C_%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%D0%BE%D1%80%D1%84%D1%84,2026-04-06T15:50:01.217116+00:00
800,Q136708904,Bailey Groenendaal,mand,2003-09-12,Schijndel,51.6183,5.4364,321464,,,0,,https://da.wikipedia.org/wiki/Bailey_Groenendaal,2026-04-06T16:00:09.919705+00:00
801,Q1993761,Bekim Christensen,mand,1973-09-17,Roskilde,55.641666666,12.080833333,114491,66.0,1.78,0,,https://nl.wikipedia.org/wiki/Bekim_Christensen,2026-04-06T16:00:20.998171+00:00
71,Q64212362,Bendy Pedersen,mand,1933-01-17,Kerteminde,55.449,10.659,,,,0,,https://da.wikipedia.org/wiki/Bendy_Pedersen,2026-04-06T15:50:01.217116+00:00
72,Q111792952,Bengt Hjortbøl,mand,1933-01-01,,,,,,,0,,https://de.wikipedia.org/wiki/Bengt_Hjortb%C3%B8l,2026-04-06T15:50:01.217116+00:00
802,Q66979422,Benjamin Hertz,mand,2001-10-14,Rødovre,55.6811,12.4558,216746,68.0,1.83,0,,https://da.wikipedia.org/wiki/Benjamin_Hertz,2026-04-06T16:00:31.535344+00:00
803,Q123956277,Benjamin Thestrup,mand,2007-08-29,Karlslunde,55.5722,12.2242,300131,,,0,,https://da.wikipedia.org/wiki/Benjamin_Thestrup,2026-04-06T16:00:42.162641+00:00
804,Q817558,Benjamin Wittrup Justesen,mand,1979-11-01,Skuldelev,55.7833,12.0172,131912,,,0,,"https://ru.wikipedia.org/wiki/%D0%AE%D1%81%D1%82%D0%B5%D1%81%D0%B5%D0%BD,_%D0%91%D0%B5%D0%BD%D1%8C%D1%8F%D0%BC%D0%B8%D0%BD",2026-04-06T16:00:52.999867+00:00
805,Q111806083,Benny Pedersen,mand,1945-09-22,,,,236865,,,0,,https://de.wikipedia.org/wiki/Benny_Pedersen,2026-04-06T16:01:03.598800+00:00
77,Q17404083,Benny Schnoor,mand,1922-12-28,Region Hovedstaden,55.931507329,12.35011779,,,,0,,https://pt.wikipedia.org/wiki/Benny_Schnoor,2026-04-06T15:50:01.217116+00:00
78,Q9168913,Bent Hansen,mand,1932-10-21,København,55.676111111,12.568888888,,,,0,,https://pt.wikipedia.org/wiki/Bent_Hansen,2026-04-06T15:50:01.217116+00:00
79,Q4890330,Bent Jørgensen,mand,1923-05-07,Region Syddanmark,55.333333333,9.666666666,,,,0,,https://pt.wikipedia.org/wiki/Bent_J%C3%B8rgensen,2026-04-06T15:50:01.217116+00:00
80,Q25850428,Bent Ole Retvig,mand,1936-05-15,Lolland Kommune,54.769444444,11.424444444,,,,0,,https://en.wikipedia.org/wiki/Bent_Ole_Retvig,2026-04-06T15:50:01.217116+00:00
806,Q18385388,Bent Pedersen,mand,1945-07-24,Region Hovedstaden,55.931507329,12.35011779,258564,72.0,1.8,0,,https://de.wikipedia.org/wiki/Bent_Pedersen,2026-04-06T16:01:14.198438+00:00
82,Q111897600,Bent Peters,mand,1940-01-15,,,,,,,0,,https://de.wikipedia.org/wiki/Bent_Peters,2026-04-06T15:50:01.217116+00:00
83,Q825027,Bernhard Franzpötter,mand,1965-12-06,,,,,,,0,,https://de.wikipedia.org/wiki/Bernhard_Franzp%C3%B6tter,2026-04-06T15:50:01.217116+00:00
807,Q30524931,Betina Cramer,kvinde,1978-10-01,Aalborg,57.05,9.916666666,124966,,,0,,https://da.wikipedia.org/wiki/Betina_Cramer,2026-04-06T16:01:24.711709+00:00
808,Q55287126,Birgitte Krogsgaard,kvinde,1991-10-27,Skødstrup,56.2633,10.3042,222958,,,0,,https://en.wikipedia.org/wiki/Birgitte_Krogsgaard,2026-04-06T16:01:35.214299+00:00
809,Q125862169,Birthe Dabelstein,kvinde,,,,,314996,,,0,,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C%D1%88%D1%82%D0%B0%D0%B9%D0%BD,_%D0%91%D0%B8%D1%80%D1%82%D0%B5",2026-04-06T16:01:45.895795+00:00
810,Q2379839,Bjarke Nielsen,mand,1976-02-10,,,,113901,,,0,,https://nl.wikipedia.org/wiki/Bjarke_Nielsen,2026-04-06T16:01:56.476456+00:00
88,Q4919489,Bjarke Refslund,mand,1981-01-01,,,,,,,0,,https://en.wikipedia.org/wiki/Bjarke_Refslund,2026-04-06T15:50:01.217116+00:00
811,Q310288,Bjarne Riis,mand,1964-04-03,Herning,56.136111111,8.976666666,113406,71.0,1.84,0,,https://uk.wikipedia.org/wiki/%D0%91%27%D1%8F%D1%80%D0%BD%D0%B5_%D0%A0%D1%96%D1%96%D1%81,2026-04-06T16:02:07.123276+00:00
812,Q19885297,Bjarne Sørensen,mand,1954-12-23,Birkerød,55.8473558,12.428001,240361,,,0,,https://pt.wikipedia.org/wiki/Bjarne_S%C3%B8rensen,2026-04-06T16:02:17.510203+00:00
813,Q106871235,Bjørn Andreassen,mand,2001-12-27,Gudme,55.15,10.716666666,269338,,,0,,"https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B0%D1%81%D1%81%D0%B5%D0%BD,_%D0%91%D1%8C%D1%91%D1%80%D0%BD",2026-04-06T16:02:27.960321+00:00
92,Q106471358,Bjørn Persson,mand,1948-01-01,København,55.676111111,12.568888888,,,,0,,https://de.wikipedia.org/wiki/Bj%C3%B8rn_Persson,2026-04-06T15:50:01.217116+00:00
93,Q63569189,Bjørn Stieler,mand,1912-07-24,København,55.676111111,12.568888888,,,,0,,https://da.wikipedia.org/wiki/Bj%C3%B8rn_Stieler,2026-04-06T15:50:01.217116+00:00
94,Q17388800,Bjørn Stiler,mand,1911-07-24,København,55.676111111,12.568888888,,,,0,,https://pt.wikipedia.org/wiki/Bj%C3%B8rn_Stiler,2026-04-06T15:50:01.217116+00:00
814,Q713153,Bo Hamburger,mand,1970-05-24,Frederiksberg,55.6779,12.5327,115220,58.0,1.74,0,,https://sv.wikipedia.org/wiki/Bo_Hamburger,2026-04-06T16:02:38.531846+00:00
815,Q111955141,Boas Lysgaard,mand,2004-11-22,Hillerød,55.933333333,12.3,270679,80.0,1.82,0,,https://da.wikipedia.org/wiki/Boas_Lysgaard,2026-04-06T16:02:48.964573+00:00
97,Q912055,Brian Dandanell,mand,1964-07-30,,,,,,,0,,https://de.wikipedia.org/wiki/Brian_Dandanell,2026-04-06T15:50:01.217116+00:00
816,Q80393,Brian Holm,mand,1962-10-02,København,55.676111111,12.568888888,113450,77.0,1.86,0,,https://sv.wikipedia.org/wiki/Brian_Holm,2026-04-06T16:02:59.697612+00:00
817,Q5656812,Brian Lykke Bistrup,mand,1967-09-22,Frederiksberg,55.6779,12.5327,212742,,,0,,https://es.wikipedia.org/wiki/Brian_Lykke_Bistrup,2026-04-06T16:03:10.304453+00:00
818,Q913183,Brian Vandborg,mand,1981-12-04,Herning,56.136111111,8.976666666,140321,75.0,1.87,0,,"https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D0%BD%D0%B4%D0%B1%D0%BE%D1%80%D0%B3,_%D0%91%D1%80%D0%B8%D0%B0%D0%BD",2026-04-06T16:03:20.748583+00:00
101,Q1020222,Børge Gissel,mand,1915-07-07,Aarhus,56.156388888,10.209722222,,,,0,,https://pt.wikipedia.org/wiki/B%C3%B8rge_Gissel,2026-04-06T15:50:01.217116+00:00
102,Q17404053,Børge Mortensen,mand,1921-11-03,Aarhus,56.156388888,10.209722222,,,,0,,https://fa.wikipedia.org/wiki/%D8%A8%D9%88%D8%B1_%D9%85%D9%88%D8%B1%D8%AA%D9%86%D8%B3%D9%86,2026-04-06T15:50:01.217116+00:00
819,Q17388608,Børge Saxil Nielsen,mand,1920-02-21,København,55.676111111,12.568888888,255896,,,0,,https://pt.wikipedia.org/wiki/B%C3%B8rge_Saxil_Nielsen,2026-04-06T16:03:32.086948+00:00
742,Q137705253,Camilla Knippel Knudsen,kvinde,1992-05-21,,,,,,,0,,"https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D1%83%D0%B4%D1%81%D0%B5%D0%BD,_%D0%9A%D0%B0%D0%BC%D0%B8%D0%BB%D0%BB%D0%B0_%D0%9A%D0%BD%D0%B8%D0%BF%D0%BF%D0%B5%D0%BB%D1%8C",2026-04-06T15:50:01.217116+00:00
820,Q21622099,Camilla Møllebro,kvinde,1984-05-21,Lemvig,56.5477,8.3033,180243,,,0,,https://nl.wikipedia.org/wiki/Camilla_M%C3%B8llebro,2026-04-06T16:03:42.544822+00:00
105,Q107400615,Camilla Søgaard,kvinde,1991-08-14,Horsens,55.861944444,9.851944444,,,,0,,"https://ru.wikipedia.org/wiki/%D0%A1%D1%91%D0%B3%D0%BE%D1%80,_%D0%9A%D0%B0%D0%BC%D0%B8%D0%BB%D0%BB%D0%B0",2026-04-06T15:50:01.217116+00:00
106,Q101074168,Carl Andreasen,mand,1874-01-01,Odense,55.4,10.383333333,,,,0,,https://de.wikipedia.org/wiki/Carl_Andreasen,2026-04-06T15:50:01.217116+00:00
821,Q112676002,Carl Emil Just Pedersen,mand,2006-01-16,Herning,56.136111111,8.976666666,282363,80.0,1.92,0,,https://da.wikipedia.org/wiki/Carl_Emil_Just_Pedersen,2026-04-06T16:03:53.224067+00:00
108,Q12305247,Carl Georg Rasmussen,mand,,,,,,,,0,,https://en.wikipedia.org/wiki/Carl_Georg_Rasmussen,2026-04-06T15:50:01.217116+00:00
109,Q1039249,Carl Koblauch,mand,1923-03-19,København,55.676111111,12.568888888,,,,0,,https://de.wikipedia.org/wiki/Carl_Koblauch,2026-04-06T15:50:01.217116+00:00
822,Q100327223,Carl-Frederik Bévort,mand,2003-11-24,København,55.676111111,12.568888888,256753,,,0,,https://zh.wikipedia.org/wiki/%E5%8D%A1%E5%B0%94-%E5%BC%97%E9%9B%B7%E5%BE%B7%E9%87%8C%E5%85%8B%C2%B7%E8%B4%9D%E6%B2%83%E7%89%B9,2026-04-06T16:04:03.724581+00:00
1290,Q137701221,Carol Rasmussen,kvinde,1964-01-01,Karlslunde,55.5722,12.2242,311078,,,0,,"https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BC%D1%83%D1%81%D1%81%D0%B5%D0%BD,_%D0%9A%D0%B0%D1%80%D0%BE%D0%BB%D1%8C",2026-04-06T17:27:11.272599+00:00
823,Q30558346,Caroline Bohé,kvinde,1999-07-23,Hillerød,55.933333333,12.3,197111,,,0,,"https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%8D,_%D0%9A%D0%B0%D1%80%D0%BE%D0%BB%D0%B8%D0%BD",2026-04-06T16:04:14.185860+00:00
